"","year","state","population","urban","sex_ratio"
"461",2024,"rajasthan",81897000,26.76,1094.03669724771
"462",2024,"uttar_pradesh",238078000,24.17,1118.58915356577
"463",2024,"bihar",128592000,12.36,1117.23954169997
"464",2024,"assam",36047000,15.68,1057.13245997089
"465",2024,"west_bengal",99563000,37.21,1059.31732265955
"466",2024,"jharkhand",39963000,26.35,1098.86386286625
"467",2024,"odisha",44420000,19.07,1073.15879618302
"468",2024,"chhattisgarh",30524000,27.44,1046.17639872954
"469",2024,"madhya_pradesh",87610000,29.1,1089.40424485782
"470",2024,"gujarat",72367000,49.22,1136.32001919156
"471",2024,"maharashtra",127360000,48.8,1107.41531888923
"472",2024,"andhra_pradesh",53340000,37.08,1013.2328990228
"473",2024,"karnataka",68115000,44.89,1038.4
"474",2024,"kerala",35920000,77.4,916.586240176479
"475",2024,"tamil_nadu",77089000,54.13,1000
"476",2024,"chandigarh",1243000,100,1215.6862745098
"477",2024,"uttarakhand",11755000,36.36,1131.67082294264
"478",2024,"sikkim",695000,51.05,1100.59171597633
"479",2024,"arunachal_pradesh",1576000,25.89,1125
"480",2024,"nagaland",2253000,47.26,1100.59171597633
"481",2024,"manipur",3253000,32.68,975.836431226766
"482",2024,"mizoram",1250000,55.22,1000
"483",2024,"tripura",4184000,40.32,1027.64423076923
