Company Name|Year|Total income|Change in stock|Total expenses|Total liabilities|Total assets|No. of employees|Sales
A G S Health Pvt. Ltd.|31-03-2022|5984.70||5281.80|4643.50|4643.50||5910.90
A G S Hotels & Resorts Pvt. Ltd.|30-09-2007|22.60||44.70|260.80|260.80||22.10
A G S Infotech Ltd.|31-03-2011|311.90||296.60|596.80|596.80||311.90
A G S Transact Technologies Ltd.|31-03-2023|12388.00|3.70|12242.90|20729.90|20729.90|2784|4548.40
A G Superstructures Pvt. Ltd.|31-03-2021|1.30||2.30|4705.50|4705.50||
A G Universal Ltd.|31-03-2023|609.10|29.60|627.10|442.80|442.80|8|593.60
A H A Parks Ltd.|31-03-2021|||0.10|0.10|0.10||
A H I V F & Infertility Research Centre Pvt. Ltd.|31-03-2022|64.30||65.10|86.20|86.20||63.30
A H L Agro Tech Pvt. Ltd.|31-03-2006||||47.00|47.00||
A H W Steels Pvt. Ltd.|31-03-2022|1219.80||1212.00|1751.10|1751.10||1156.90
A H Y Food Products Ltd.|31-03-2013|61.00|0.30|61.20|122.00|122.00||61.00
A I A Engineering Ltd.|31-03-2023|43682.60|71.60|34065.90|80540.10|80540.10|4291|40455.20
A I Airport Services Ltd.|31-03-2022|6214.60||6061.30|12097.90|12097.90||5895.90
A I Assets Holding Ltd.|31-03-2022|19941.40||30516.10|996396.70|996396.70||838.70
A I C Properties Ltd.|31-03-2022||||0.20|0.20||
A I Champdany Inds. Ltd.|31-03-2023|1092.50|-216.40|726.60|2800.80|2800.80|3184|473.10
A I Corporate Solutions Pvt. Ltd.|31-03-2022|||0.10|7.80|7.80||
A I Engineering Services Ltd.|31-03-2022|19065.20||10694.00|21439.30|21439.30||18819.10
A I K Pipes & Polymers Ltd.|31-03-2022|209.00|1.00|200.80|96.70|96.70||204.20
A I P L Housing & Urban Infrastructure Ltd.|31-03-2021|222.70||193.30|458.90|458.90||217.70
A I R R Xmedia Ltd.|31-03-2023|||6.00|227.70|227.70||
A I S E C T Ltd.|31-03-2022|1044.80||987.40|894.10|894.10||1038.90
A I S Glass Solutions Ltd.|31-03-2022|831.00|-3.00|938.40|1418.60|1418.60||828.00
A J Brothers Ltd.|31-03-2010|0.60||0.60|12.70|12.70||0.60
A J Enterprises Ltd.|31-03-2022|1.80||8.40|25.70|25.70||1.80
A J R Infra & Tolling Ltd.|31-03-2022|563.50||6131.00|22158.70|22158.70|2|
A J S Impex Pvt. Ltd.|31-03-2022|525.60|-207.50|987.30|2576.80|2576.80||499.20
A K C Developers Ltd.|31-03-2012|165.60|11.20|177.40|818.10|818.10||95.90
A K C Retailers Pvt. Ltd.|31-03-2021|||0.90|339.70|339.70||
A K C Steel Inds. Ltd.|31-03-2023|65.60|-1.40|41.80|156.00|156.00||62.00
A K C Synthetics Ltd.|31-03-2010||||7.70|7.70||
A K Capital Corpn. Pvt. Ltd.|31-03-2023|2.40||0.70|28.20|28.20||
A K Capital Finance Ltd.|31-03-2022|2135.10||1560.80|21049.40|21049.40||4.80
A K Capital Markets Ltd.|31-03-2022||||18.30|18.30||
A K Capital Services Ltd.|31-03-2023|1182.80||875.70|9843.80|9843.80|102|22.90
A K Das Associates Ltd.|31-03-2022|620.40|-9.10|555.30|1474.20|1474.20||604.70
A K G Acoustics (India) Ltd.|31-12-1995|168.20|16.00|240.10|174.80|174.80||162.70
A K G Exim Ltd.|31-03-2023|866.30|77.00|930.50|641.90|641.90||857.30
A K G Plastics Pvt. Ltd.|31-03-2022|1789.80|-14.90|1765.10|865.60|865.60||1782.10
A K G Securities & Consultancy Ltd.|31-03-2010|66.30||58.10|124.20|124.20||
A K Gandhi Mktg. Pvt. Ltd.|31-03-2004|610.10|9.80|618.70|205.80|205.80||607.60
A K H S Homes Pvt. Ltd.|31-03-2010||||31.00|31.00||
A K I India Ltd.|31-03-2022|639.70|5.20|628.50|604.90|604.90||627.90
A K J Fincap Ltd.|31-03-2021|0.10||3.80|155.20|155.20||
A K J Securities Ltd.|31-03-2022|2.70||3.70|21.50|21.50||
A K Lumbers Ltd.|31-03-2022|79.60||78.70|356.20|356.20||78.80
A K M Creations Ltd.|31-03-2023|136.40|1.80|135.60|102.10|102.10|3|132.30
A K Power Inds. Pvt. Ltd.|31-03-2018|270.90|-9.10|295.60|2113.40|2113.40||267.40
A K R Construction Ltd.|31-03-2022|4.20|0.00|30.70|1657.30|1657.30||
A K R Infrastructure Ltd.|31-03-2013|46.70|-19.20|27.20|834.90|834.90||38.60
A K S Bearings Ltd.|31-03-2022|44.90|-1.10|43.40|81.00|81.00||44.70
A K S Cold Storage Ltd.|31-03-2017|454.10|52.00|499.70|770.00|770.00||454.10
A K S Credits Ltd.|31-03-2022|7.80||6.30|114.30|114.30||
A K S Electricals & Electronics Ltd.|31-03-2021|3658.60||3642.70|2226.00|2226.00||3650.50
A K S Expo-Chem Pvt. Ltd.|31-03-2022|909.60|2.50|905.00|226.30|226.30||907.20
A K S Financial Services Ltd.|31-03-2012||||5.60|5.60||
A K S International Ltd.|31-03-2021|12.90||12.70|382.20|382.20||
A K S Properties Ltd.|31-03-2022|||0.10|111.10|111.10||
A K Spintex Ltd.|31-03-2022|727.90|-0.60|709.20|525.20|525.20||726.50
A K Stockmart Pvt. Ltd.|31-03-2023|411.60||380.10|987.50|987.50||
A K Structural Foam Ltd. [Merged]|31-03-1992|18.80|-1.70|46.00|70.40|70.40||18.70
A K V Textiles Ltd.|31-03-2022|||0.10|71.70|71.70||
A K Wealth Management Pvt. Ltd.|31-03-2023|37.70||29.40|66.40|66.40||
A L A Chemicals Pvt. Ltd.|31-03-2022|837.80|18.20|820.90|763.90|763.90||824.20
A L Ammar Frozen Foods Exports Pvt. Ltd.|31-03-2022|7103.30|-10.20|6846.90|1276.70|1276.70||7032.30
A L B Leasing & Finance Ltd. [Merged]|31-03-2010|1.50||1.50|24.20|24.20||
A L D Automotive Pvt. Ltd.|31-03-2022|3713.20||3336.50|13468.10|13468.10||3489.50
A L F Engineering Pvt. Ltd.|31-03-2022|9834.80||9478.80|6343.00|6343.00||9774.50
A L F Insurance Services Pvt. Ltd.|31-03-2011|0.50||0.20|7.00|7.00||
A L M Food Products Ltd.|31-03-2023|6732.00|82.90|6772.20|2593.30|2593.30||6723.40
A L M Industries Ltd.|31-03-2022|8738.60|384.00|9075.30|2690.80|2690.80||8738.30
A L M Infotech City Pvt. Ltd.|31-03-2019|208.70||332.50|1693.90|1693.90||196.80
A L P Aeroflex India Pvt. Ltd.|31-03-2022|2504.20|34.60|2247.50|1852.20|1852.20||2470.00
A L P Nishikawa Co. Pvt. Ltd.|31-03-2022|3861.10|68.60|3831.20|2976.80|2976.80||3843.70
A L S Testing Services India Pvt. Ltd.|31-03-2022|216.50||283.40|471.30|471.30||216.30
A L Sudershan Construction Co. Ltd.|31-03-2020|6.10|-12.50|34.00|85.10|85.10||6.10
A L T Digital Media Entertainment Ltd.|31-03-2023|551.80||1319.40|2401.50|2401.50||549.30
A M A V Enterprises Pvt. Ltd.|31-03-2012||||134.50|134.50||
A M C L Machinery Ltd.|31-03-2022|81.90|-4.20|118.60|167.90|167.90||81.50
A M Clean Air Engg. Pvt. Ltd.|31-03-2022|40.60||40.30|26.60|26.60||40.60
A M D D Foods Pvt. Ltd.|31-03-2022|6595.30|358.20|6779.90|4707.60|4707.60||6522.00
A M D Estates & Developers Pvt. Ltd.|31-03-2022|26.80|-3.80|10.40|838.40|838.40||24.00
A M D India Pvt. Ltd. (1997)|31-03-2022|20370.40||19121.90|16273.10|16273.10||20123.10
A M D Industries Ltd.|31-03-2023|4092.00|189.30|4089.20|3613.10|3613.10|290|4087.40
A M F International Ltd.|31-03-2014|38.60||38.20|17.00|17.00||38.60
A M G F Intercorp Ltd. [Merged]|31-03-2007|7.20|-1.70|5.20|55.40|55.40||4.10
A M I C Forging Pvt. Ltd.|31-03-2022|714.00|-1.00|703.10|316.30|316.30||711.20
A M I Computers (I) Ltd.|31-03-2022||||18.70|18.70||
A M I Ganga Infrastructure Ltd.|31-03-2022|1.00||1.00|52.20|52.20||
A M I Global Logistics Pvt. Ltd.|31-03-2023|6423.10||6367.70|654.80|654.80||6386.50
A M I Organics Ltd.|31-03-2023|6210.60|149.60|5526.80|7594.60|7594.60|967|6167.40
A M Ispat Ltd.|31-03-2022|354.40|0.00|352.80|156.60|156.60||353.20
A M J Land Holdings Ltd.|31-03-2023|131.80|2.70|69.40|1448.00|1448.00|4|34.60
A M Marketing Pvt. Ltd.|31-03-2022|5374.60|35.00|5376.60|443.30|443.30||5191.90
A M Marketplaces Pvt. Ltd.|31-03-2022|693.20||927.90|277.20|277.20||633.70
A M N S Ports Hazira Ltd.|31-03-2022|9318.30||8557.20|41983.10|41983.10||8965.60
A M N S Ports Paradip Ltd.|31-03-2022|2087.20||1395.30|7826.50|7826.50||1898.80
A M P L Cleantech Pvt. Ltd.|31-03-2022|668.70||645.30|7872.40|7872.40||572.10
A M R Holdings Pvt. Ltd.|31-03-2008|3.60||3.60|104.10|104.10||
A M R Hospitality Services Ltd.|31-03-2010|3.00||2.70|303.70|303.70||
A M R India Ltd.|31-03-2022|13877.80|162.80|13105.40|16499.70|16499.70||13844.90
A M R L Hitech City Ltd.|31-03-2021|4.50|599.90|605.60|6992.90|6992.90||3.80
A M R Power Pvt. Ltd.|31-03-2022|443.70||271.50|2035.20|2035.20||441.60
A M S - Chasys Automotive India Pvt. Ltd.|31-03-2022|1790.00|1.90|1791.40|445.40|445.40||1786.30
A M S Comtel Business Process Mgmt. Services Pvt. Ltd.|31-03-2021|133.00||129.30|75.90|75.90||132.00
A M S I L Enterprises Ltd.|31-03-2022|||0.10|228.90|228.90||
A M S Polymers Ltd.|31-03-2023|850.60|-1.90|843.50|346.20|346.20|18|850.50
A M Textiles & Knitwears Ltd.|31-03-2022|779.70|-16.80|756.00|181.30|181.30||778.80
A M W Autocomponent Ltd.|31-03-2019|1015.10|64.20|1286.70|10901.40|10901.40||942.40
A M W Motors Ltd.|31-03-2019|44.20|0.20|1313.00|19023.20|19023.20||34.50
A Menarini India Pvt. Ltd.|31-03-2022|1379.40|-22.50|1497.30|583.00|583.00||1369.90
A N G Auto Tech Pvt. Ltd. [Merged]|31-03-2007||||311.20|311.20||
A N G Commodities Pvt. Ltd.|31-03-2014|19.10||18.80|71.50|71.50||
A N G Industries Ltd.|31-03-2017|927.00|-378.80|1604.10|1616.80|1616.80||898.60
A N G Lifesciences India Ltd.|31-03-2023|2168.40|42.20|2217.20|2543.40|2543.40|545|2070.10
A N G Realities Pvt. Ltd.|31-03-2022|16.00||4.40|162.30|162.30||14.90
A N Global Ltd.|31-03-2010|8.30||4.60|41.00|41.00||8.30
A N I Pharma Pvt. Ltd.|31-03-2021|1.00|-0.50|0.70|0.30|0.30||1.00
A N J Power Technologies Pvt. Ltd.|31-03-2020|||7.00|38.30|38.30||
A N M Ispat Pvt. Ltd.|31-03-2022|20735.20|789.70|21093.30|2886.50|2886.50||20706.90
A N R Designer Tiles Ltd.|31-03-2012|7.80|1.00|11.30|24.60|24.60||7.80
A N R Investments Ltd. [Merged]|31-03-2011|3.40||1.90|76.30|76.30||
A N R Motors Pvt. Ltd.|31-03-2022|4569.80|-13.00|4404.50|1299.30|1299.30||4479.90
A N R Securities Pvt. Ltd.|31-03-2020|||2879.70|16542.10|16542.10||
A N S Affiliate Solutions Pvt. Ltd.|31-03-2022|1.40||1.40|3.70|3.70||1.40
A N S Constructions Pvt. Ltd.|31-03-2022|2029.40|-110.60|1840.70|2402.40|2402.40||2011.20
A N S Digital Pvt. Ltd.|31-03-2022|1119.70||1244.00|382.40|382.40||1118.90
A N S Inds. Ltd.|31-03-2023|2.60||19.10|100.20|100.20|10|0.20
A N S Steel Tubes Ltd.|31-03-2021|1951.20|0.50|1867.50|1438.40|1438.40||1860.90
A N Securities Pvt. Ltd.|31-03-2021|112.00|-5.20|119.50|384.90|384.90||111.90
A N Z Capital Pvt. Ltd.|31-03-2019|8.20||4.20|69.80|69.80||
A N Z Information Technology Pvt. Ltd.|31-03-2022|13528.40||12079.80|5914.60|5914.60||13460.00
A N Z Support Services India Pvt. Ltd.|31-03-2022|8299.60||7324.70|6398.70|6398.70||8163.60
A Narrain Mines Ltd. [Merged]|31-03-2002|336.00|44.20|376.30|275.80|275.80||336.00
A O K In-House B P O Services Ltd. [Merged]|31-03-2011|460.40||458.50|162.60|162.60||458.20
A O K In-House Factoring Services Pvt. Ltd. [Merged]|31-03-2011|78.20||76.40|47.10|47.10||
A O L Online India Pvt. Ltd.|31-03-2019|21.50||7.70|1162.10|1162.10||
A O N Consulting Pvt. Ltd.|31-03-2022|5270.30||4636.90|7604.90|7604.90||5108.50
A O S Products Pvt. Ltd.|31-03-2022|537.20|-8.90|501.90|283.20|283.20||534.70
A O V Agro Foods Pvt. Ltd.|31-03-2022|2250.00|24.10|2206.10|2092.00|2092.00||2060.70
A O V Clever Knits Pvt. Ltd.|31-03-2014|79.80|-1.30|78.00|45.90|45.90||79.80
A O V Exports Pvt. Ltd.|31-03-2022|2689.80|-208.90|2451.50|2177.40|2177.40||2547.20
A O V Forex Pvt. Ltd.|31-03-2022|8.40||8.30|269.70|269.70||
A P A Engineering Pvt. Ltd.|31-03-2022|2948.20||2832.30|1237.40|1237.40||2939.30
A P Coatings Ltd. [Merged]|31-03-2012|2488.10|364.80|2934.80|1421.20|1421.20||2481.30
A P D L Estates Ltd. [Merged]|31-03-2022|25.10||43.70|323.10|323.10||24.10
A P D Properties Ltd.|31-03-2020|2.50|-0.30|0.60|91.70|91.70||
A P Finance Ltd.|31-03-2009|0.20||0.20|3.20|3.20||
A P G Capital Markets Ltd.|31-03-2011|7.30||0.70|56.10|56.10||
A P G Intelli Homes Pvt. Ltd.|31-03-2022|1467.80||1555.80|5871.20|5871.20||1445.60
A P G Premium Homes Pvt. Ltd.|31-03-2023|||4.30|372.40|372.40||
A P I Holdings Ltd.|31-03-2022|3503.20|136.10|54449.40|73286.30|73286.30||1697.40
A P I Ispat & Powertech Pvt. Ltd.|31-03-2022|13973.30|356.30|13391.40|6787.20|6787.20||13913.60
A P J R Investment & Real Estate Pvt. Ltd.|31-10-1999|||0.20|19.40|19.40||
A P L (India) Pvt. Ltd.|31-03-2005|303.30||252.30|211.50|211.50||218.00
A P L Apollo Tubes Ltd.|31-03-2023|143212.00|3649.40|141742.20|50545.20|50545.20|4317|142792.90
A P L Corporation Pvt. Ltd. (2002)|31-03-2022|9358.50|83.80|9291.60|2478.20|2478.20||9347.80
A P L Engineering Services Pvt. Ltd. [Merged]|31-03-2016|33.80|-0.50|32.60|65.20|65.20||33.60
A P L Healthcare Ltd.|31-03-2022|21657.70|1972.90|19632.60|25662.30|25662.30||21459.70
A P L Industries Pvt. Ltd.|31-03-2022||||7.20|7.20||
A P L Infotech Ltd.|31-03-2022|||0.00|216.60|216.60||
A P L Institute Of Clinical Laboratory & Research Pvt. Ltd. [Merged]|31-03-2022|61.60||49.60|42.40|42.40||60.80
A P L International Pvt. Ltd.|31-03-2022|80.00||30.20|521.20|521.20||
A P L Life Sciences Ltd. [Merged]|31-03-2006|668.40|10.20|665.20|349.50|349.50||650.10
A P L Logistics (India) Pvt. Ltd.|31-03-2022|2982.50||2856.40|1282.00|1282.00||2976.90
A P L Metals Ltd.|31-03-2022|8281.30|111.60|8343.30|2183.80|2183.80||8277.50
A P L Research Centre Ltd. [Merged]|31-03-2020|||0.50|119.00|119.00||
A P Logistics India Pvt. Ltd.|31-03-2022|428.10||424.00|76.80|76.80||427.50
A P M Highway Terminal Pvt. Ltd.|31-03-2022|1.40||1.10|262.90|262.90||1.40
A P M Industries Ltd.|31-03-2023|3624.40|126.00|3536.90|2580.70|2580.70|2158|3608.10
A P M Infrastructure Pvt. Ltd.|31-03-2022|122.50|81.60|205.30|354.30|354.30||121.10
A P M Investments Ltd.|31-03-2014|0.60||0.50|13.30|13.30||
A P M Terminals India Pvt. Ltd.|31-03-2022|3800.40||3316.80|3733.00|3733.00||3610.10
A P Mahesh Co-Operative Urban Bank Ltd.|31-03-2008|672.40||586.10|6488.40|6488.40||
A P Met Engg. Ltd.|31-03-2022|482.70||175.20|682.20|682.20||231.80
A P N Food Products Pvt. Ltd.|31-03-2022|0.50||0.90|11.60|11.60||0.50
A P Nirman Ltd.|31-03-2018|143.50|0.70|152.80|158.60|158.60||142.70
A P Organics Ltd.|31-03-2021|9162.60|-29.00|8957.90|2200.00|2200.00||9136.80
A P P L Bikes Ltd.|31-03-2022|||0.20|53.30|53.30||
A P P L Industries Ltd.|31-03-2022|4745.90|21.70|4672.20|3698.10|3698.10||4724.50
A P Paper Mills Ltd.|31-03-2022|673.30|2.10|668.70|380.00|380.00||671.30
A P Projects Ltd.|31-03-2022|0.30|0.00|0.20|27.70|27.70||0.30
A P R Constructions Ltd.|31-03-2022|511.50|65.50|555.60|1946.70|1946.70||500.40
A P R Packaging Ltd. [Merged]|31-03-2004|1671.30|3.40|1659.30|2719.00|2719.00||1657.40
A P R Sacks Ltd. [Merged]|31-03-2010|720.70|-6.30|706.80|1162.80|1162.80||720.30
A P Refinery Pvt. Ltd.|31-03-2022|8526.10|-33.30|8365.60|1933.60|1933.60||8490.90
A P S Hydro Pvt. Ltd.|31-03-2022|1532.10|72.00|1527.70|2525.50|2525.50||1526.10
A P S Industries Ltd.|31-03-2009|44.20|0.30|44.20|31.40|31.40||44.20
A P State Housing Corpn. Ltd.|01-06-2014|2965.80||11409.20|205675.80|205675.80||75.20
A P Steel Re-Rolling Mill Ltd.|31-03-2014|435.60|-19.80|415.50|202.80|202.80||434.60
A P T Medical Systems Pvt. Ltd.|31-03-2022|10.10|-0.30|10.80|14.50|14.50||10.00
A P T Packaging Ltd.|31-03-2020|221.20|-5.80|213.20|307.50|307.50||179.80
A P T Power Engg. Pvt. Ltd.|31-03-2022|280.80||264.90|427.60|427.60||269.30
A P T Yarns Ltd.|31-03-2013||0.00||48.70|48.70||
A P Udyog Ltd.|31-03-2022|||0.10|39.40|39.40||
A P Utility Services Ltd.|31-03-2010|0.30|0.00|0.20|142.30|142.30||0.30
A Power Himalayas Ltd.|31-03-2022|8.60||10.60|677.00|677.00||8.60
A R Airways Pvt. Ltd.|31-03-2022|1048.40||1308.40|3885.40|3885.40||1036.50
A R B Bearings Ltd.|31-03-2022|2378.10|156.40|2353.40|1741.10|1741.10||2354.50
A R C Finance Ltd.|31-03-2023|38.80||35.50|709.30|709.30|7|
A R C L Organics Ltd.|31-03-2022|1436.40|44.10|1375.70|963.80|963.80||1412.60
A R C Logistics Pvt. Ltd.|31-03-2021|0.10||0.30|0.00|0.00||
A R C Power Generation Ltd.|31-03-2021||||25.60|25.60||
A R Co-Extruded Films Pvt. Ltd.|31-03-2010|0.40||0.30|89.90|89.90||
A R E Entertainment Ltd.|31-03-2022||||1.00|1.00||
A R F Engineering Pvt. Ltd.|31-03-2022|22.10||27.40|36.00|36.00||12.50
A R G Autosystems Ltd.|31-03-2013|1.40||0.70|42.30|42.30||0.50
A R G L Ltd.|31-03-2022|1810.30|80.50|2150.50|3999.10|3999.10||1783.50
A R I Consolidated Invsts. Pvt. Ltd.|31-03-2022|72.80||18.70|328.70|328.70||13.80
A R Infrastructure Pvt. Ltd.|31-03-2023|36.00||35.20|12.80|12.80||36.00
A R J Shares & Stock Brokers Pvt. Ltd.|31-03-2021|13.90||9.50|153.40|153.40||
A R K Imports Pvt. Ltd.|31-03-2022||||394.90|394.90||
A R K Transmission & Distribution Ltd.|31-03-2009|2.40||3.50|17.30|17.30||2.10
A R K Vidhyut Urja Ltd.|31-03-2009|394.50|4.90|393.40|114.40|114.40||393.70
A R L Infratech Ltd.|31-03-2022|3195.90|3.30|2862.10|2809.20|2809.20||3186.40
A R L Tyres Ltd.|31-03-2022|1831.20|154.70|1972.40|2127.90|2127.90||1666.00
A R Login 4 Edu Pvt. Ltd.|31-03-2022|0.50|||0.20|0.20||
A R M Embedded Technologies Pvt. Ltd.|31-03-2022|6920.20||6290.80|7141.30|7141.30||6762.10
A R M Overseas Pvt. Ltd.|31-03-2022|571.20|-6.00|563.10|324.10|324.10||570.20
A R M Polymers Ltd.|31-03-1997|26.70|-1.80|44.10|62.60|62.60||26.20
A R N Textiles Pvt. Ltd.|31-03-2013|1007.80||1005.70|383.40|383.40||1007.80
A R Packaging Systems Ltd.|31-03-1990|53.70|0.20|60.60|74.40|74.40||53.10
A R Paradise Pvt. Ltd.|31-03-2023||||1.30|1.30||
A R Property Developers Pvt. Ltd.|31-03-2022|5.80||3.90|306.10|306.10||0.70
A R S Energy Pvt. Ltd.|31-03-2022|1104.80||2090.40|3809.30|3809.30||1094.90
A R S S Bus Terminal Pvt. Ltd.|31-03-2023|||21.30|70.50|70.50||
A R S S Damoh-Hirapur Tolls Pvt. Ltd.|31-03-2023|||0.20|669.50|669.50||
A R S S Developers Ltd.|31-03-2023|3.10|0.00|9.20|329.60|329.60||1.20
A R S S Infrastructure Projects Ltd.|31-03-2023|4200.80|9.30|4156.00|15997.70|15997.70|573|4025.30
A R S Steels & Alloy Intl. Pvt. Ltd.|31-03-2022|8326.20|249.60|8433.10|2620.90|2620.90||8300.80
A R S Systems & Communications Ltd.|31-03-2022|1.90|0.30|2.20|45.50|45.50||1.90
A R Stanchem Pvt. Ltd.|31-03-2022|6684.60|-19.30|6519.10|3609.20|3609.20||6575.40
A R Thermosets Pvt. Ltd.|31-03-2022|2442.90|-17.50|2209.10|1073.50|1073.50||2440.30
A S A International India Microfinance Ltd.|31-03-2022|2532.90||3859.20|7290.60|7290.60||
A S A P Prefab Pvt. Ltd.|31-03-2021|178.00|-4.80|170.90|42.00|42.00||177.90
A S B International Pvt. Ltd.|31-03-2022|8458.30|794.80|9085.20|16586.40|16586.40||8234.00
A S B Projects Ltd.|31-03-2022|101.40||64.20|593.30|593.30||96.90
A S C Power Pvt. Ltd.|31-03-2022|158.70|1.90|155.10|202.40|202.40||158.20
A S Computer Services Pvt. Ltd.|31-03-2022|105.60|3.40|108.40|35.20|35.20||105.20
A S D Infratech Pvt. Ltd.|31-03-2022|50.60|0.00|34.60|244.90|244.90||43.50
A S E Capital Market Devp. Board|31-03-2022|0.30||0.10|24.10|24.10||
A S E L Financial Services Ltd.|31-03-2021|46.20||19.50|796.60|796.60||5.60
A S F Buildcon Pvt. Ltd.|31-03-2022|32.80||38.70|435.60|435.60||32.50
A S F Infotech Pvt. Ltd.|31-03-2022|43.80||125.70|582.80|582.80||21.90
A S G Biochem Pvt. Ltd.|31-03-2022|247.90|32.10|277.40|407.50|407.50||245.30
A S I Industries Ltd.|31-03-2023|1482.30|-23.80|1285.70|3768.10|3768.10|627|1376.00
A S I Rcc (India) Ltd.|31-03-2014||||0.40|0.40||
A S K Automotive Ltd.|31-03-2022|20249.30|103.60|19465.60|10562.30|10562.30||20131.00
A S K Financial Services Ltd.|31-03-2012|0.30||2.40|21.30|21.30||
A S K Financial Services Pvt. Ltd.|31-03-2000|14.40||11.40|75.70|75.70||
A S K Resources India Pvt. Ltd.|31-03-2022|1.50||2.70|205.50|205.50||
A S L Enterprises Ltd.|31-03-2022|4070.40|163.80|4191.00|1025.00|1025.00||4064.30
A S L Industries Ltd.|31-03-2023|26.10||9.80|352.90|352.90|2|
A S M Shipping Pvt. Ltd.|31-03-2010|22.00||13.30|52.90|52.90||20.00
A S M Technologies Ltd.|31-03-2023|1496.40||1341.30|1611.00|1611.00|1020|1391.50
A S M Traxim Pvt. Ltd.|31-03-2022|1660.70|-66.10|1666.30|795.30|795.30||1659.30
A S Malhotra & Associates Pvt. Ltd.|31-03-2022|15.10|7.10|21.80|37.80|37.80||15.00
A S Moloobhoy Pvt. Ltd.|31-03-2022|550.30|-0.30|478.60|452.90|452.90||547.60
A S Nisar Ahmed & Co. Ltd.|31-03-2021|1.40||1.50|7.20|7.20||1.30
A S P Pvt. Ltd.|31-03-2020|602.50|80.50|676.40|566.20|566.20||596.30
A S P Sealing Products Ltd.|31-03-2022|731.20|-10.70|706.30|764.60|764.60||729.20
A S P Ship Mgmt. (India) Pvt. Ltd.|31-03-2022|59.00||56.40|140.10|140.10||31.00
A S P Technologies Pvt. Ltd. (Maharashtra)|31-03-2022||||40.70|40.70||
A S Precision Machines Pvt. Ltd.|31-03-2022|601.80|13.60|599.80|564.20|564.20||598.20
A S R Agro Ltd.|31-03-2009|2.20||2.60|24.50|24.50||2.10
A S R Engineering & Projects Ltd.|31-03-2022|505.90||810.30|9596.10|9596.10||487.40
A S R Multimetals Pvt. Ltd.|31-03-2006|275.60|117.30|393.40|868.10|868.10||258.90
A S Raiment Pvt. Ltd.|31-03-2022|0.40||0.40|18.10|18.10||
A S Retail & Hospitality Technical Solution Pvt. Ltd.|31-03-2022|11.50|-3.60|9.70|70.10|70.10||11.20
A S Rototech Ltd.|31-03-1995|26.10|0.90|33.10|91.20|91.20||26.00
A S T Telecom Solar Pvt. Ltd.|31-03-2022|5690.90||6080.80|6488.40|6488.40||5469.70
A S V Constructions Pvt. Ltd.|31-03-2022|740.00|-261.00|364.70|4495.80|4495.80||735.90
A Schulman Plastics India Pvt. Ltd.|31-03-2020|1935.00|66.20|1943.60|1181.00|1181.00||1932.60
A T & F India Fabrication Pvt. Ltd.|31-03-2015|40.80|3.20|57.10|86.80|86.80||33.90
A T & T Communication Services India Pvt. Ltd.|31-03-2022|8818.50||7783.20|10281.20|10281.20||8503.70
A T & T Global Network Services India Pvt. Ltd.|31-03-2022|9262.10||7660.40|14402.50|14402.50||8911.20
A T C Aviation Services Pvt. Ltd.|31-03-2022|5.40||2.00|65.30|65.30||2.30
A T C Infrastructure Services Pvt. Ltd. [Merged]|31-03-2019|11549.30||10574.70|13111.90|13111.90||11053.60
A T C Ltd.|31-03-2022|271.20||267.70|223.30|223.30||267.60
A T C Telecom Infrastructure Pvt. Ltd.|31-03-2022|93989.70||87590.90|279953.80|279953.80||90661.50
A T C Tires Pvt. Ltd.|31-03-2022|54103.50|815.00|49885.30|52780.30|52780.30||54041.50
A T C Tower Co. Of India Pvt. Ltd. [Merged]|31-03-2016|503.90||416.50|1127.00|1127.00||495.40
A T E Enterprises Pvt. Ltd.|31-03-2022|1498.90|29.70|1422.20|1499.80|1499.80||1481.40
A T E Manufacturing Co. Pvt. Ltd. [Merged]|31-03-2002|71.50|-5.00|64.20|51.10|51.10||67.60
A T E Print Solutions Pvt. Ltd.|31-03-2004|58.70|-3.50|49.60|39.30|39.30||58.20
A T E Pvt. Ltd.|31-03-2004|41.20||38.20|287.10|287.10||11.10
A T E Rectifiers Ltd.|31-03-2000|153.80|-1.50|125.90|131.20|131.20||150.90
A T E Services Ltd.|31-03-2003|1.60||1.60|2.20|2.20||0.90
A T E Trading & Mfg. Co. Ltd. [Merged]|31-03-2002|39.60|-2.30|34.60|21.70|21.70||37.30
A T F Aishwarya Finance Ltd.|31-03-2007|3.60||2.80|36.10|36.10||
A T I Ltd.|31-03-2021|2.60|-0.80|6.20|67.90|67.90||0.60
A T Kearney India Pvt. Ltd.|31-03-2022|653.70||569.50|691.60|691.60||651.70
A T L (India) Ltd. [Merged]|31-03-1993|176.60|18.80|189.20|166.60|166.60||173.40
A T L Textile Processors Ltd.|31-03-2023||||52.30|52.30||
A T L Textiles Ltd.|30-06-1998|779.50|78.00|838.10|914.70|914.70||776.60
A T N International Ltd.|31-03-2023|1.40||6.70|21.40|21.40|7|1.00
A T O (I) Ltd.|31-03-2022|735.50||725.40|523.10|523.10||723.80
A T P International Ltd.|31-03-2009|133.70|0.20|133.20|92.50|92.50||133.60
